Company,localDate,openPrice,closePrice,highPrice,lowPrice
Samsung,2022-12-19,59500,59500,59900,59100
Samsung,2022-12-20,59000,58600,59100,58500
Samsung,2022-12-21,58700,58000,59100,58000
Samsung,2022-12-22,58100,59100,59100,58100
Samsung,2022-12-23,58200,58100,58400,57700
Samsung,2022-12-26,58000,57900,58100,57700
Samsung,2022-12-27,58000,58100,58400,57900
Samsung,2022-12-28,57600,56600,57600,56400
Samsung,2022-12-29,56000,55300,56200,55300
Samsung,2023-01-02,55500,55500,56100,55200
Samsung,2023-01-03,55400,55400,56000,54500
Samsung,2023-01-04,55700,57800,58000,55600
Samsung,2023-01-05,58200,58200,58800,57600
Samsung,2023-01-06,58300,59000,59400,57900
Samsung,2023-01-09,59700,60700,60700,59600
Samsung,2023-01-10,60200,60400,61100,59900
Samsung,2023-01-11,61000,60500,61200,60300
Samsung,2023-01-12,61100,60500,61200,59900
Samsung,2023-01-13,60500,60800,61200,60400
Samsung,2023-01-16,61300,61100,61600,60800
Samsung,2023-01-17,61200,61000,61500,60600
Samsung,2023-01-18,60700,60400,61000,59900
Samsung,2023-01-19,60500,61500,61500,60400
Samsung,2023-01-20,62100,61800,62300,61100
Samsung,2023-01-25,63500,63400,63700,63000
Samsung,2023-01-26,63800,63900,63900,63300
Samsung,2023-01-27,64400,64600,65000,63900
Samsung,2023-01-30,64900,63300,64900,63100
Samsung,2023-01-31,63500,61000,63700,61000
Samsung,2023-02-01,62600,61800,62700,61000
Samsung,2023-02-02,63200,63500,63900,62600
Samsung,2023-02-03,63900,63800,64000,63000
Samsung,2023-02-06,62800,61600,63000,61600
Samsung,2023-02-07,61900,61900,62500,61600
Samsung,2023-02-08,62800,63100,63300,62400
Samsung,2023-02-09,63000,63000,63300,62300
Samsung,2023-02-10,62600,62800,63000,62400
Samsung,2023-02-13,62900,62900,63000,62300
Samsung,2023-02-14,63600,63200,63900,63200
Samsung,2023-02-15,63900,62200,63900,62000
Samsung,2023-02-16,62500,63700,63700,62400
Samsung,2023-02-17,62900,62600,63300,62400
Samsung,2023-02-20,62900,62700,63000,61800
Samsung,2023-02-21,62700,62100,62800,62000
Samsung,2023-02-22,61500,61100,61800,61000
Samsung,2023-02-23,61700,62000,62500,61500
Samsung,2023-02-24,62300,61300,62600,61300
Samsung,2023-02-27,60800,60500,60800,60200
Samsung,2023-02-28,60800,60600,61400,60500
Samsung,2023-03-02,60900,60800,61800,60500
Samsung,2023-03-03,61000,60500,61200,60500
Samsung,2023-03-06,61100,61500,61600,60800
Samsung,2023-03-07,61400,60700,61400,60700
Samsung,2023-03-08,60100,60300,60500,59900
Samsung,2023-03-09,60500,60100,60800,59900
Samsung,2023-03-10,59500,59500,59700,59100
Samsung,2023-03-13,59900,60000,60200,59300
Samsung,2023-03-14,59400,59000,59500,59000
Samsung,2023-03-15,60000,59800,60300,59600
Samsung,2023-03-16,59200,59900,60200,59100
Samsung,2023-03-17,60800,61300,61300,60600
Samsung,2023-03-20,61100,60200,61200,60200
Samsung,2023-03-21,60500,60300,60700,60100
Samsung,2023-03-22,61000,61100,61200,60500
Samsung,2023-03-23,60600,62300,62300,60600
Samsung,2023-03-24,62700,63000,63300,62300
Samsung,2023-03-27,62600,62100,62800,62000
Samsung,2023-03-28,62400,62900,62900,62100
Samsung,2023-03-29,62500,62700,62700,62200
Samsung,2023-03-30,63700,63200,63700,63100
Samsung,2023-03-31,64000,64000,64000,63700
Samsung,2023-04-03,64000,63100,64000,63000
Samsung,2023-04-04,63400,63600,63800,62800
Samsung,2023-04-05,63700,63900,64000,63400
Samsung,2023-04-06,63500,62300,63600,62300
Samsung,2023-04-07,63800,65000,65200,63800
Samsung,2023-04-10,64800,65700,66300,64700
Samsung,2023-04-11,66200,65900,66200,65400
Samsung,2023-04-12,65800,66000,66200,65300
Samsung,2023-04-13,65600,66100,66100,65400
Samsung,2023-04-14,66600,65100,66600,65000
Samsung,2023-04-17,65000,65300,65600,64700
Samsung,2023-04-18,65900,65600,66000,64800
Samsung,2023-04-19,65500,65500,65800,65300
Samsung,2023-04-20,65100,65300,65300,64600
Samsung,2023-04-21,65800,65700,65900,65400
Samsung,2023-04-24,65300,65200,65700,64800
Samsung,2023-04-25,65300,63600,65400,63400
Samsung,2023-04-26,63600,64100,64300,63300
Samsung,2023-04-27,64100,64600,65000,63300
Samsung,2023-04-28,65200,65500,65900,65000
Samsung,2023-05-02,66000,65700,66300,65100
Samsung,2023-05-03,65100,65400,65600,64900
Samsung,2023-05-04,65600,65100,65700,64700
Samsung,2023-05-08,66300,65900,66300,65400
Samsung,2023-05-09,65800,65300,65800,65100
Samsung,2023-05-10,65500,64600,65500,64300
Samsung,2023-05-11,64700,64200,65100,64200
Samsung,2023-05-12,63700,64100,64600,63600
Samsung,2023-05-15,64100,64500,64600,63900
Samsung,2023-05-16,65800,65400,65900,65300
Samsung,2023-05-17,65900,65000,65900,64800
Samsung,2023-05-18,66000,66200,66200,65700
Samsung,2023-05-19,67800,68400,68400,67500
Samsung,2023-05-22,68400,68500,69000,68000
Samsung,2023-05-23,68500,68400,68700,68100
Samsung,2023-05-24,68100,68500,68700,68000
Samsung,2023-05-25,69900,68800,70000,68700
Samsung,2023-05-26,69800,70300,70400,69500
Samsung,2023-05-30,71300,72300,72300,71200
Samsung,2023-05-31,72400,71400,72500,71000
Samsung,2023-06-01,70900,70900,71600,70600
Samsung,2023-06-02,71700,72200,72200,71600
Samsung,2023-06-05,72700,71700,72700,71400
Samsung,2023-06-07,71300,71000,71600,70800
Samsung,2023-06-08,70400,70900,70900,70000
Samsung,2023-06-09,71100,72000,72300,70800
Samsung,2023-06-12,72100,71000,72400,70800
Samsung,2023-06-13,71700,72000,72200,71600
Samsung,2023-06-14,72100,71900,72200,71100
Samsung,2023-06-15,72100,71500,72300,71300
Samsung,2023-06-16,71800,71800,71900,70900
Samsung,2023-06-19,71300,71200,71700,70900
Samsung,2023-06-20,70700,71400,71400,70400
Samsung,2023-06-21,70700,70500,71200,70400
Samsung,2023-06-22,70200,71300,71500,70100
Samsung,2023-06-23,72000,71600,72200,71600
Samsung,2023-06-26,71700,72400,72500,71500
Samsung,2023-06-27,72500,72600,72600,72000
Samsung,2023-06-28,72600,72700,72700,72000
Samsung,2023-06-29,73100,72400,73400,72400
Samsung,2023-06-30,72500,72200,72700,71700
Samsung,2023-07-03,72700,73000,73200,72600
Samsung,2023-07-04,73400,73000,73600,72900
Samsung,2023-07-05,73000,72000,73300,71900
Samsung,2023-07-06,71900,71600,72400,71500
Samsung,2023-07-07,71100,69900,71400,69800
Samsung,2023-07-10,70000,69500,70400,69200
Samsung,2023-07-11,70200,71500,71500,70100
Samsung,2023-07-12,71200,71900,72000,71100
Samsung,2023-07-13,72400,71900,72600,71900
Samsung,2023-07-14,72500,73400,73400,72400
Samsung,2023-07-17,73200,73300,73500,72800
Samsung,2023-07-18,73200,72000,73500,72000
Samsung,2023-07-19,72700,71700,72800,71300
Samsung,2023-07-20,71100,71000,71500,70800
Samsung,2023-07-21,70400,70300,70400,69400
Samsung,2023-07-24,70100,70400,70900,69900
Samsung,2023-07-25,70000,70000,70500,69800
Samsung,2023-07-26,69800,69800,70600,68100
Samsung,2023-07-27,69900,71700,71700,69300
Samsung,2023-07-28,71800,70600,72400,70100
Samsung,2023-07-31,70900,69800,71000,69800
Samsung,2023-08-01,70100,71100,71200,70000
